2024-02-06 17:27:43,811 [main] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [lv.javaguru.travel.insurance.core.repositories.CountryDefaultDayRateRepositoryTest], using SpringBootContextLoader
2024-02-06 17:27:43,819 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [lv.javaguru.travel.insurance.core.repositories.CountryDefaultDayRateRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-06 17:27:43,820 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [lv.javaguru.travel.insurance.core.repositories.CountryDefaultDayRateRepositoryTest]: CountryDefaultDayRateRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-06 17:27:43,934 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration lv.javaguru.travel.insurance.InsuranceApplication for test class lv.javaguru.travel.insurance.core.repositories.CountryDefaultDayRateRepositoryTest
2024-02-06 17:27:43,936 [main] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-02-06 17:27:43,951 [main] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1d730606, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3bcbb589, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3b00856b, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3016fd5e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@35d08e6c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@53d102a2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6c45ee6e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6b3e12b5, org.springframework.test.context.event.EventPublishingTestExecutionListener@5aac4250, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1338fb5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@42463763, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@59f63e24, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@61f05988, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7ca33c24, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@fade1fc]
2024-02-06 17:27:44,241 [main] INFO  l.j.t.i.c.r.CountryDefaultDayRateRepositoryTest - Starting CountryDefaultDayRateRepositoryTest using Java 18.0.2 on WIN-6V3MTR2VJA7 with PID 348 (started by Eugene in C:\Java Projects\JavaInternship\bsu-java-internship-2023\student_kroshinsky_eugene)
2024-02-06 17:27:44,241 [main] INFO  l.j.t.i.c.r.CountryDefaultDayRateRepositoryTest - No active profile set, falling back to 1 default profile: "default"
2024-02-06 17:27:44,612 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-06 17:27:44,677 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 58 ms. Found 4 JPA repository interfaces.
2024-02-06 17:27:44,717 [main] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
